> Sun Dec 13 17:30:53 2020 | Epoch [0000/0100] | duration: 680.0s | loss: 0.3754 | loss_d: 0.2018 | loss_r: 0.1737 | best: 0.3754 |
> Sun Dec 13 17:42:12 2020 | Epoch [0001/0100] | duration: 677.3s | loss: 0.2306 | loss_d: 0.1337 | loss_r: 0.0969 | best: 0.2306 |
> Sun Dec 13 17:53:33 2020 | Epoch [0002/0100] | duration: 679.5s | loss: 0.1377 | loss_d: 0.0554 | loss_r: 0.0823 | best: 0.1377 |
> Sun Dec 13 18:04:56 2020 | Epoch [0003/0100] | duration: 680.9s | loss: 0.1100 | loss_d: 0.0389 | loss_r: 0.0710 | best: 0.1100 |
> Sun Dec 13 18:16:20 2020 | Epoch [0004/0100] | duration: 681.9s | loss: 0.0954 | loss_d: 0.0318 | loss_r: 0.0636 | best: 0.0954 |
> Sun Dec 13 18:27:44 2020 | Epoch [0005/0100] | duration: 681.9s | loss: 0.0856 | loss_d: 0.0275 | loss_r: 0.0581 | best: 0.0856 |
> Sun Dec 13 18:39:08 2020 | Epoch [0006/0100] | duration: 682.0s | loss: 0.0780 | loss_d: 0.0242 | loss_r: 0.0537 | best: 0.0780 |
> Sun Dec 13 18:50:32 2020 | Epoch [0007/0100] | duration: 681.9s | loss: 0.0719 | loss_d: 0.0219 | loss_r: 0.0500 | best: 0.0719 |
> Sun Dec 13 19:01:56 2020 | Epoch [0008/0100] | duration: 682.1s | loss: 0.0672 | loss_d: 0.0202 | loss_r: 0.0470 | best: 0.0672 |
> Sun Dec 13 19:13:20 2020 | Epoch [0009/0100] | duration: 682.2s | loss: 0.0631 | loss_d: 0.0187 | loss_r: 0.0444 | best: 0.0631 |
> Sun Dec 13 19:24:44 2020 | Epoch [0010/0100] | duration: 682.2s | loss: 0.0599 | loss_d: 0.0176 | loss_r: 0.0423 | best: 0.0599 |
> Sun Dec 13 19:36:09 2020 | Epoch [0011/0100] | duration: 682.2s | loss: 0.0569 | loss_d: 0.0165 | loss_r: 0.0404 | best: 0.0569 |
> Sun Dec 13 19:47:33 2020 | Epoch [0012/0100] | duration: 682.1s | loss: 0.0545 | loss_d: 0.0157 | loss_r: 0.0388 | best: 0.0545 |
> Sun Dec 13 19:58:57 2020 | Epoch [0013/0100] | duration: 682.1s | loss: 0.0524 | loss_d: 0.0150 | loss_r: 0.0374 | best: 0.0524 |
> Sun Dec 13 20:10:21 2020 | Epoch [0014/0100] | duration: 682.3s | loss: 0.0506 | loss_d: 0.0144 | loss_r: 0.0362 | best: 0.0506 |
> Sun Dec 13 20:21:46 2020 | Epoch [0015/0100] | duration: 682.6s | loss: 0.0488 | loss_d: 0.0136 | loss_r: 0.0351 | best: 0.0488 |
> Sun Dec 13 20:33:11 2020 | Epoch [0016/0100] | duration: 682.8s | loss: 0.0474 | loss_d: 0.0132 | loss_r: 0.0343 | best: 0.0474 |
> Sun Dec 13 20:44:35 2020 | Epoch [0017/0100] | duration: 682.6s | loss: 0.0460 | loss_d: 0.0126 | loss_r: 0.0334 | best: 0.0460 |
> Sun Dec 13 20:56:00 2020 | Epoch [0018/0100] | duration: 683.0s | loss: 0.0448 | loss_d: 0.0122 | loss_r: 0.0326 | best: 0.0448 |
> Sun Dec 13 21:07:25 2020 | Epoch [0019/0100] | duration: 682.6s | loss: 0.0438 | loss_d: 0.0119 | loss_r: 0.0319 | best: 0.0438 |
> Sun Dec 13 21:18:50 2020 | Epoch [0020/0100] | duration: 682.7s | loss: 0.0429 | loss_d: 0.0117 | loss_r: 0.0313 | best: 0.0429 |
> Sun Dec 13 21:30:15 2020 | Epoch [0021/0100] | duration: 682.6s | loss: 0.0418 | loss_d: 0.0112 | loss_r: 0.0306 | best: 0.0418 |
> Sun Dec 13 21:41:39 2020 | Epoch [0022/0100] | duration: 682.8s | loss: 0.0410 | loss_d: 0.0110 | loss_r: 0.0301 | best: 0.0410 |
> Sun Dec 13 21:53:04 2020 | Epoch [0023/0100] | duration: 682.5s | loss: 0.0402 | loss_d: 0.0107 | loss_r: 0.0295 | best: 0.0402 |
> Sun Dec 13 22:04:29 2020 | Epoch [0024/0100] | duration: 682.5s | loss: 0.0393 | loss_d: 0.0104 | loss_r: 0.0289 | best: 0.0393 |
> Sun Dec 13 22:15:53 2020 | Epoch [0025/0100] | duration: 682.3s | loss: 0.0387 | loss_d: 0.0102 | loss_r: 0.0285 | best: 0.0387 |
> Sun Dec 13 22:27:17 2020 | Epoch [0026/0100] | duration: 682.3s | loss: 0.0380 | loss_d: 0.0100 | loss_r: 0.0281 | best: 0.0380 |
> Sun Dec 13 22:38:43 2020 | Epoch [0027/0100] | duration: 682.6s | loss: 0.0374 | loss_d: 0.0098 | loss_r: 0.0276 | best: 0.0374 |
> Sun Dec 13 22:50:16 2020 | Epoch [0028/0100] | duration: 682.5s | loss: 0.0368 | loss_d: 0.0096 | loss_r: 0.0272 | best: 0.0368 |
> Sun Dec 13 23:01:40 2020 | Epoch [0029/0100] | duration: 682.7s | loss: 0.0363 | loss_d: 0.0094 | loss_r: 0.0269 | best: 0.0363 |
> Sun Dec 13 23:13:11 2020 | Epoch [0030/0100] | duration: 682.9s | loss: 0.0358 | loss_d: 0.0093 | loss_r: 0.0265 | best: 0.0358 |
> Sun Dec 13 23:24:44 2020 | Epoch [0031/0100] | duration: 682.6s | loss: 0.0353 | loss_d: 0.0091 | loss_r: 0.0262 | best: 0.0353 |
> Sun Dec 13 23:36:17 2020 | Epoch [0032/0100] | duration: 682.8s | loss: 0.0348 | loss_d: 0.0090 | loss_r: 0.0258 | best: 0.0348 |
> Sun Dec 13 23:47:42 2020 | Epoch [0033/0100] | duration: 682.8s | loss: 0.0343 | loss_d: 0.0088 | loss_r: 0.0255 | best: 0.0343 |
> Sun Dec 13 23:59:07 2020 | Epoch [0034/0100] | duration: 682.7s | loss: 0.0340 | loss_d: 0.0087 | loss_r: 0.0252 | best: 0.0340 |
> Mon Dec 14 00:10:32 2020 | Epoch [0035/0100] | duration: 682.7s | loss: 0.0335 | loss_d: 0.0085 | loss_r: 0.0250 | best: 0.0335 |
> Mon Dec 14 00:21:57 2020 | Epoch [0036/0100] | duration: 682.7s | loss: 0.0331 | loss_d: 0.0084 | loss_r: 0.0247 | best: 0.0331 |
> Mon Dec 14 00:33:22 2020 | Epoch [0037/0100] | duration: 682.5s | loss: 0.0327 | loss_d: 0.0083 | loss_r: 0.0244 | best: 0.0327 |
> Mon Dec 14 00:44:46 2020 | Epoch [0038/0100] | duration: 682.4s | loss: 0.0322 | loss_d: 0.0080 | loss_r: 0.0242 | best: 0.0322 |
> Mon Dec 14 00:56:11 2020 | Epoch [0039/0100] | duration: 682.7s | loss: 0.0319 | loss_d: 0.0079 | loss_r: 0.0240 | best: 0.0319 |
> Mon Dec 14 01:07:36 2020 | Epoch [0040/0100] | duration: 682.7s | loss: 0.0315 | loss_d: 0.0078 | loss_r: 0.0237 | best: 0.0315 |
> Mon Dec 14 01:19:01 2020 | Epoch [0041/0100] | duration: 682.7s | loss: 0.0315 | loss_d: 0.0079 | loss_r: 0.0236 | best: 0.0315 |
> Mon Dec 14 01:30:26 2020 | Epoch [0042/0100] | duration: 682.8s | loss: 0.0311 | loss_d: 0.0077 | loss_r: 0.0233 | best: 0.0311 |
> Mon Dec 14 01:41:51 2020 | Epoch [0043/0100] | duration: 682.9s | loss: 0.0307 | loss_d: 0.0077 | loss_r: 0.0230 | best: 0.0307 |
> Mon Dec 14 01:53:16 2020 | Epoch [0044/0100] | duration: 682.9s | loss: 0.0305 | loss_d: 0.0076 | loss_r: 0.0229 | best: 0.0305 |
> Mon Dec 14 02:04:41 2020 | Epoch [0045/0100] | duration: 683.1s | loss: 0.0302 | loss_d: 0.0075 | loss_r: 0.0226 | best: 0.0302 |
> Mon Dec 14 02:16:07 2020 | Epoch [0046/0100] | duration: 683.2s | loss: 0.0299 | loss_d: 0.0075 | loss_r: 0.0224 | best: 0.0299 |
> Mon Dec 14 02:27:32 2020 | Epoch [0047/0100] | duration: 683.2s | loss: 0.0295 | loss_d: 0.0074 | loss_r: 0.0221 | best: 0.0295 |
> Mon Dec 14 02:38:58 2020 | Epoch [0048/0100] | duration: 683.2s | loss: 0.0293 | loss_d: 0.0074 | loss_r: 0.0219 | best: 0.0293 |
> Mon Dec 14 02:50:23 2020 | Epoch [0049/0100] | duration: 683.3s | loss: 0.0291 | loss_d: 0.0073 | loss_r: 0.0217 | best: 0.0291 |
> Mon Dec 14 03:01:49 2020 | Epoch [0050/0100] | duration: 683.5s | loss: 0.0289 | loss_d: 0.0073 | loss_r: 0.0216 | best: 0.0289 |
> Mon Dec 14 03:13:15 2020 | Epoch [0051/0100] | duration: 683.5s | loss: 0.0287 | loss_d: 0.0073 | loss_r: 0.0215 | best: 0.0287 |
> Mon Dec 14 03:24:41 2020 | Epoch [0052/0100] | duration: 683.6s | loss: 0.0286 | loss_d: 0.0072 | loss_r: 0.0214 | best: 0.0286 |
> Mon Dec 14 03:36:06 2020 | Epoch [0053/0100] | duration: 683.6s | loss: 0.0284 | loss_d: 0.0071 | loss_r: 0.0213 | best: 0.0284 |
> Mon Dec 14 03:47:41 2020 | Epoch [0054/0100] | duration: 683.6s | loss: 0.0283 | loss_d: 0.0071 | loss_r: 0.0212 | best: 0.0283 |
> Mon Dec 14 03:59:07 2020 | Epoch [0055/0100] | duration: 683.6s | loss: 0.0282 | loss_d: 0.0071 | loss_r: 0.0211 | best: 0.0282 |
> Mon Dec 14 04:10:33 2020 | Epoch [0056/0100] | duration: 683.5s | loss: 0.0279 | loss_d: 0.0069 | loss_r: 0.0211 | best: 0.0279 |
> Mon Dec 14 04:21:59 2020 | Epoch [0057/0100] | duration: 683.6s | loss: 0.0279 | loss_d: 0.0069 | loss_r: 0.0210 | best: 0.0279 |
> Mon Dec 14 04:33:25 2020 | Epoch [0058/0100] | duration: 683.4s | loss: 0.0278 | loss_d: 0.0069 | loss_r: 0.0209 | best: 0.0278 |
> Mon Dec 14 04:44:50 2020 | Epoch [0059/0100] | duration: 683.5s | loss: 0.0275 | loss_d: 0.0067 | loss_r: 0.0209 | best: 0.0275 |
> Mon Dec 14 04:56:16 2020 | Epoch [0060/0100] | duration: 683.6s | loss: 0.0275 | loss_d: 0.0067 | loss_r: 0.0208 | best: 0.0275 |
> Mon Dec 14 05:07:39 2020 | Epoch [0061/0100] | duration: 682.0s | loss: 0.0275 | loss_d: 0.0067 | loss_r: 0.0208 | best: 0.0275 |
> Mon Dec 14 05:19:05 2020 | Epoch [0062/0100] | duration: 682.5s | loss: 0.0274 | loss_d: 0.0067 | loss_r: 0.0207 | best: 0.0274 |
> Mon Dec 14 05:30:31 2020 | Epoch [0063/0100] | duration: 683.6s | loss: 0.0273 | loss_d: 0.0066 | loss_r: 0.0207 | best: 0.0273 |
> Mon Dec 14 05:41:57 2020 | Epoch [0064/0100] | duration: 683.2s | loss: 0.0271 | loss_d: 0.0065 | loss_r: 0.0206 | best: 0.0271 |
> Mon Dec 14 05:53:22 2020 | Epoch [0065/0100] | duration: 683.8s | loss: 0.0271 | loss_d: 0.0066 | loss_r: 0.0205 | best: 0.0271 |
> Mon Dec 14 06:04:47 2020 | Epoch [0066/0100] | duration: 683.2s | loss: 0.0270 | loss_d: 0.0065 | loss_r: 0.0205 | best: 0.0270 |
> Mon Dec 14 06:16:13 2020 | Epoch [0067/0100] | duration: 683.5s | loss: 0.0268 | loss_d: 0.0064 | loss_r: 0.0204 | best: 0.0268 |
> Mon Dec 14 06:27:37 2020 | Epoch [0068/0100] | duration: 682.6s | loss: 0.0267 | loss_d: 0.0063 | loss_r: 0.0204 | best: 0.0267 |
> Mon Dec 14 06:39:03 2020 | Epoch [0069/0100] | duration: 683.6s | loss: 0.0267 | loss_d: 0.0064 | loss_r: 0.0203 | best: 0.0267 |
> Mon Dec 14 06:50:27 2020 | Epoch [0070/0100] | duration: 683.6s | loss: 0.0266 | loss_d: 0.0063 | loss_r: 0.0202 | best: 0.0266 |
> Mon Dec 14 07:01:53 2020 | Epoch [0071/0100] | duration: 683.2s | loss: 0.0264 | loss_d: 0.0063 | loss_r: 0.0201 | best: 0.0264 |
> Mon Dec 14 07:13:19 2020 | Epoch [0072/0100] | duration: 683.9s | loss: 0.0264 | loss_d: 0.0062 | loss_r: 0.0201 | best: 0.0264 |
> Mon Dec 14 07:24:45 2020 | Epoch [0073/0100] | duration: 683.2s | loss: 0.0264 | loss_d: 0.0063 | loss_r: 0.0202 | best: 0.0264 |
> Mon Dec 14 07:36:08 2020 | Epoch [0074/0100] | duration: 682.9s | loss: 0.0262 | loss_d: 0.0062 | loss_r: 0.0200 | best: 0.0262 |
> Mon Dec 14 07:47:35 2020 | Epoch [0075/0100] | duration: 683.4s | loss: 0.0262 | loss_d: 0.0062 | loss_r: 0.0200 | best: 0.0262 |
> Mon Dec 14 07:59:00 2020 | Epoch [0076/0100] | duration: 683.3s | loss: 0.0262 | loss_d: 0.0062 | loss_r: 0.0200 | best: 0.0262 |
> Mon Dec 14 08:10:24 2020 | Epoch [0077/0100] | duration: 683.3s | loss: 0.0260 | loss_d: 0.0061 | loss_r: 0.0200 | best: 0.0260 |
> Mon Dec 14 08:21:51 2020 | Epoch [0078/0100] | duration: 683.3s | loss: 0.0259 | loss_d: 0.0060 | loss_r: 0.0199 | best: 0.0259 |
> Mon Dec 14 08:33:17 2020 | Epoch [0079/0100] | duration: 683.6s | loss: 0.0259 | loss_d: 0.0060 | loss_r: 0.0199 | best: 0.0259 |
> Mon Dec 14 08:44:42 2020 | Epoch [0080/0100] | duration: 683.6s | loss: 0.0258 | loss_d: 0.0060 | loss_r: 0.0198 | best: 0.0258 |
> Mon Dec 14 08:56:08 2020 | Epoch [0081/0100] | duration: 683.7s | loss: 0.0259 | loss_d: 0.0061 | loss_r: 0.0198 | best: 0.0258 |
> Mon Dec 14 09:07:32 2020 | Epoch [0082/0100] | duration: 683.6s | loss: 0.0257 | loss_d: 0.0060 | loss_r: 0.0198 | best: 0.0257 |
> Mon Dec 14 09:18:58 2020 | Epoch [0083/0100] | duration: 683.2s | loss: 0.0256 | loss_d: 0.0059 | loss_r: 0.0197 | best: 0.0256 |
> Mon Dec 14 09:30:24 2020 | Epoch [0084/0100] | duration: 683.6s | loss: 0.0257 | loss_d: 0.0060 | loss_r: 0.0197 | best: 0.0256 |
