> Fri Dec 11 20:01:41 2020 | Epoch [0000/0100] | duration: 552.5s | loss: 0.4333 | loss_d: 0.2075 | loss_r: 0.2259 | best: 0.4333 |
> Fri Dec 11 20:10:49 2020 | Epoch [0001/0100] | duration: 546.9s | loss: 0.3174 | loss_d: 0.2016 | loss_r: 0.1159 | best: 0.3174 |
> Fri Dec 11 20:19:59 2020 | Epoch [0002/0100] | duration: 548.8s | loss: 0.3012 | loss_d: 0.2011 | loss_r: 0.1000 | best: 0.3012 |
> Fri Dec 11 20:29:11 2020 | Epoch [0003/0100] | duration: 550.4s | loss: 0.2908 | loss_d: 0.2009 | loss_r: 0.0899 | best: 0.2908 |
> Fri Dec 11 20:38:25 2020 | Epoch [0004/0100] | duration: 552.4s | loss: 0.2832 | loss_d: 0.2008 | loss_r: 0.0823 | best: 0.2832 |
> Fri Dec 11 20:47:38 2020 | Epoch [0005/0100] | duration: 551.3s | loss: 0.2773 | loss_d: 0.2008 | loss_r: 0.0766 | best: 0.2773 |
> Fri Dec 11 20:56:52 2020 | Epoch [0006/0100] | duration: 553.1s | loss: 0.2726 | loss_d: 0.2007 | loss_r: 0.0719 | best: 0.2726 |
> Fri Dec 11 21:06:06 2020 | Epoch [0007/0100] | duration: 551.9s | loss: 0.2684 | loss_d: 0.2007 | loss_r: 0.0677 | best: 0.2684 |
> Fri Dec 11 21:15:20 2020 | Epoch [0008/0100] | duration: 552.6s | loss: 0.2646 | loss_d: 0.2007 | loss_r: 0.0639 | best: 0.2646 |
> Fri Dec 11 21:24:33 2020 | Epoch [0009/0100] | duration: 552.1s | loss: 0.2613 | loss_d: 0.2007 | loss_r: 0.0606 | best: 0.2613 |
> Fri Dec 11 21:33:48 2020 | Epoch [0010/0100] | duration: 552.8s | loss: 0.2586 | loss_d: 0.2006 | loss_r: 0.0580 | best: 0.2586 |
> Fri Dec 11 21:43:01 2020 | Epoch [0011/0100] | duration: 552.1s | loss: 0.2562 | loss_d: 0.2006 | loss_r: 0.0556 | best: 0.2562 |
> Fri Dec 11 21:52:16 2020 | Epoch [0012/0100] | duration: 552.8s | loss: 0.2540 | loss_d: 0.2006 | loss_r: 0.0535 | best: 0.2540 |
> Fri Dec 11 22:01:29 2020 | Epoch [0013/0100] | duration: 551.8s | loss: 0.2521 | loss_d: 0.2006 | loss_r: 0.0516 | best: 0.2521 |
> Fri Dec 11 22:10:43 2020 | Epoch [0014/0100] | duration: 552.7s | loss: 0.2505 | loss_d: 0.2006 | loss_r: 0.0499 | best: 0.2505 |
> Fri Dec 11 22:19:57 2020 | Epoch [0015/0100] | duration: 552.3s | loss: 0.2490 | loss_d: 0.2006 | loss_r: 0.0484 | best: 0.2490 |
> Fri Dec 11 22:29:11 2020 | Epoch [0016/0100] | duration: 552.8s | loss: 0.2476 | loss_d: 0.2006 | loss_r: 0.0470 | best: 0.2476 |
> Fri Dec 11 22:38:25 2020 | Epoch [0017/0100] | duration: 552.6s | loss: 0.2464 | loss_d: 0.2006 | loss_r: 0.0458 | best: 0.2464 |
> Fri Dec 11 22:47:40 2020 | Epoch [0018/0100] | duration: 553.0s | loss: 0.2452 | loss_d: 0.2006 | loss_r: 0.0447 | best: 0.2452 |
> Fri Dec 11 22:56:54 2020 | Epoch [0019/0100] | duration: 552.5s | loss: 0.2442 | loss_d: 0.2005 | loss_r: 0.0437 | best: 0.2442 |
> Fri Dec 11 23:06:08 2020 | Epoch [0020/0100] | duration: 553.0s | loss: 0.2432 | loss_d: 0.2005 | loss_r: 0.0427 | best: 0.2432 |
> Fri Dec 11 23:15:22 2020 | Epoch [0021/0100] | duration: 552.4s | loss: 0.2423 | loss_d: 0.2005 | loss_r: 0.0418 | best: 0.2423 |
> Fri Dec 11 23:24:37 2020 | Epoch [0022/0100] | duration: 553.0s | loss: 0.2413 | loss_d: 0.2005 | loss_r: 0.0409 | best: 0.2413 |
> Fri Dec 11 23:33:51 2020 | Epoch [0023/0100] | duration: 552.8s | loss: 0.2406 | loss_d: 0.2004 | loss_r: 0.0402 | best: 0.2406 |
