> Sun Dec 13 17:29:47 2020 | Epoch [0000/0100] | duration: 682.4s | loss: 0.3894 | loss_d: 0.2029 | loss_r: 0.1865 | best: 0.3894 |
> Sun Dec 13 17:41:04 2020 | Epoch [0001/0100] | duration: 676.1s | loss: 0.2709 | loss_d: 0.1725 | loss_r: 0.0983 | best: 0.2709 |
> Sun Dec 13 17:52:24 2020 | Epoch [0002/0100] | duration: 678.2s | loss: 0.1529 | loss_d: 0.0637 | loss_r: 0.0891 | best: 0.1529 |
> Sun Dec 13 18:03:46 2020 | Epoch [0003/0100] | duration: 679.9s | loss: 0.1161 | loss_d: 0.0395 | loss_r: 0.0766 | best: 0.1161 |
> Sun Dec 13 18:15:09 2020 | Epoch [0004/0100] | duration: 681.2s | loss: 0.0991 | loss_d: 0.0304 | loss_r: 0.0687 | best: 0.0991 |
> Sun Dec 13 18:26:32 2020 | Epoch [0005/0100] | duration: 681.1s | loss: 0.0887 | loss_d: 0.0259 | loss_r: 0.0628 | best: 0.0887 |
> Sun Dec 13 18:37:55 2020 | Epoch [0006/0100] | duration: 681.2s | loss: 0.0812 | loss_d: 0.0229 | loss_r: 0.0583 | best: 0.0812 |
> Sun Dec 13 18:49:19 2020 | Epoch [0007/0100] | duration: 681.3s | loss: 0.0751 | loss_d: 0.0206 | loss_r: 0.0545 | best: 0.0751 |
> Sun Dec 13 19:00:42 2020 | Epoch [0008/0100] | duration: 681.3s | loss: 0.0705 | loss_d: 0.0190 | loss_r: 0.0515 | best: 0.0705 |
> Sun Dec 13 19:12:05 2020 | Epoch [0009/0100] | duration: 681.4s | loss: 0.0664 | loss_d: 0.0176 | loss_r: 0.0488 | best: 0.0664 |
> Sun Dec 13 19:23:29 2020 | Epoch [0010/0100] | duration: 681.4s | loss: 0.0630 | loss_d: 0.0165 | loss_r: 0.0465 | best: 0.0630 |
> Sun Dec 13 19:34:52 2020 | Epoch [0011/0100] | duration: 681.2s | loss: 0.0601 | loss_d: 0.0155 | loss_r: 0.0446 | best: 0.0601 |
